# Traduções de interface, não traduções oficiais verificadas. Chaves inglesas independem da apresentação.
Acid Splash|Respingo Ácido
Aid|Auxílio
Alarm|Alarme
Alter Self|Alterar-se
Animal Friendship|Amizade Animal
Animal Messenger|Mensageiro Animal
Animal Shapes|Formas Animais
Animate Dead|Animar Mortos
Animate Objects|Animar Objetos
Antilife Shell|Cúpula Antivida
Antimagic Field|Campo Antimagia
Antipathy/Sympathy|Antipatia/Simpatia
Arcane Eye|Olho Arcano
Arcane Gate|Portal Arcano
Arcane Lock|Tranca Arcana
Armor of Agathys|Armadura de Agathys
Arms of Hadar|Braços de Hadar
Astral Projection|Projeção Astral
Augury|Augúrio
Aura of Life|Aura de Vida
Aura of Purity|Aura de Pureza
Aura of Vitality|Aura de Vitalidade
Awaken|Despertar
Bane|Perdição
Banishing Smite|Golpe Banidor
Banishment|Banimento
Barkskin|Pele de Árvore
Beacon of Hope|Farol de Esperança
Beast Sense|Sentido Bestial
Bestow Curse|Rogar Maldição
Bigby's Hand|Mão de Bigby
Blade Barrier|Barreira de Lâminas
Blade Ward|Proteção contra Lâminas
Bless|Bênção
Blight|Malogro
Blinding Smite|Golpe Cegante
Blindness/Deafness|Cegueira/Surdez
Blink|Piscar
Blur|Nublar
Branding Smite|Golpe Marcante
Burning Hands|Mãos Flamejantes
Call Lightning|Convocar Relâmpagos
Calm Emotions|Acalmar Emoções
Chain Lightning|Relâmpago em Cadeia
Charm Person|Enfeitiçar Pessoa
Chill Touch|Toque Arrepiante
Chromatic Orb|Orbe Cromático
Circle of Death|Círculo da Morte
Circle of Power|Círculo de Poder
Clairvoyance|Clarividência
Clone|Clone
Cloudkill|Névoa Mortal
Cloud of Daggers|Nuvem de Adagas
Color Spray|Leque Cromático
Command|Comando
Commune|Comunhão
Commune with Nature|Comunhão com a Natureza
Compelled Duel|Duelo Compelido
Comprehend Languages|Compreender Idiomas
Compulsion|Compulsão
Cone of Cold|Cone de Frio
Confusion|Confusão
Conjure Animals|Conjurar Animais
Conjure Barrage|Conjurar Rajada
Conjure Celestial|Conjurar Celestial
Conjure Elemental|Conjurar Elemental
Conjure Fey|Conjurar Feérico
Conjure Minor Elementals|Conjurar Elementais Menores
